"airport","description","frequency","type"
"KBIS","APP/DEP","126.3","A/D"
"KBIS","ARNG OPS","49.8","OPS"
"KBIS","ATIS","119.35","ATIS"
"KBIS","CTAF","118.3","CTAF"
"KBIS","GND","121.9","GND"
"KBIS","GRAND FORKS RDO","122.2","RDO"
"KBIS","TWR","118.3","TWR"
"KBIS","UNICOM","122.95","UNIC"
"KBIX","403 WG AFRC COMD","25.28","POST"
"KBIX","AEROMEDICAL EVAC","23.66","MISC"
"KBIX","ATIS","25.6","ATIS"
"KBIX","CLNC DEL","121.8","CLD"
"KBIX","GND","121.8","GND"
"KBIX","GULFPORT APP/DEP","124.6","A/D"
"KBIX","PMSV METRO","34.46","PMSV"
"KBIX","PTD","37.22","PTD"
"KBIX","TWR","120.75","TWR"
"KBJC","ATIS","126.25","ATIS"
"KBJC","CTAF","118.6","CTAF"
"KBJC","DENVER APP/DEP","126.1","A/D"
"KBJC","GND","121.7","GND"
"KBJC","TWR","118.6","TWR"
"KBJI","AWOS 3","119.275","AWOS"
"KBJI","CTAF/UNICOM","122.8","UNIC"
"KBJI","MINNEAPOLIS CNTR","134.75","CNTR"
"KBJI","PRINCETON RDO","123.6","RDO"
"KBJJ","AKRON CANTON APP/DEP","118.6","A/D"
"KBJJ","ASOS","118.075","ASOS"
"KBJJ","CLNC DEL","121.75","CLD"
"KBJJ","CTAF/UNICOM","122.8","UNIC"
"KBKD","CTAF/UNICOM","122.8","UNIC"
"KBKD","FORT WORTH CNTR","127","CNTR"
"KBKD","FORT WORTH RDO","122.5","RDO"
"KBKE","ASOS","134.275","ASOS"
"KBKE","CTAF/UNICOM","123","UNIC"
"KBKE","SALT LAKE CITY CNTR","128.05","CNTR"
"KBKF","ATIS","119.675","ATIS"
"KBKF","DENVER APP/DEP","128.45","A/D"
"KBKF","GND/CLNC DEL","121.6","GND"
"KBKF","PMSV METRO","22.845","PMSV"
"KBKF","PTD","37.22","PTD"
"KBKF","TWR","121","TWR"
"KBKL","ASOS","125.25","ASOS"
"KBKL","ATIS","125.25","ATIS"
"KBKL","CLEVELAND APP/DEP","125.35","A/D"
"KBKL","CTAF","124.3","CTAF"
"KBKL","GND","121.9","GND"
"KBKL","LAKEFRONT TWR","124.3","TWR"
"KBKL","UNICOM","122.95","UNIC"
"KBKT","CTAF/UNICOM","122.95","UNIC"
"KBKT","RANGE OPS","38.3","OPS"
"KBKT","TWR","38.3","TWR"
"KBKT","WASHINGTON CNTR","118.75","CNTR"
"KBKW","ASOS","121.55","ASOS"
"KBKW","AWOS 3","124.65","AWOS"
"KBKW","CHARLESTON APP/DEP","118.95","A/D"
"KBKW","CTAF/UNICOM","123","UNIC"
"KBKW","ELKINS RDO","117.7","RDO"
"KBKX","AWOS 3","108.8","AWOS"
"KBKX","CTAF/UNICOM","123","UNIC"
"KBKX","HURON RDO","122.65","RDO"
"KBLF","ASOS","132.725","ASOS"
"KBLF","CTAF","122.9","CTAF"
"KBLF","ELKINS RDO","122.2","RDO"
"KBLF","INDIANAPOLIS CNTR","126.575","CNTR"
"KBLH","ASOS","120.175","ASOS"
"KBLH","CTAF/UNICOM","122.8","UNIC"
"KBLH","LOS ANGELES CNTR","128.15","CNTR"
"KBLH","RIVERSIDE RDO","122.4","RDO"
"KBLI","ATIS","134.45","ATIS"
"KBLI","CTAF","124.9","CTAF"
"KBLI","GND","127.4","GND"
"KBLI","SEATTLE RDO","122.15","RDO"
"KBLI","TWR","124.9","TWR"
"KBLI","UNICOM","122.95","UNIC"
"KBLI","VICTORIA APP/DEP","132.7","A/D"
"KBLM","AWOS 3","121.625","AWOS"
"KBLM","CTAF/UNICOM","123","UNIC"
"KBLM","MC GUIRE APP/DEP","124.15","A/D"
"KBLM","MCGUIRE CLNC DEL","120.95","CLD"
"KBLM","MILLVILLE RDO","113.8","RDO"
"KBLU","ASOS","120.075","ASOS"
"KBLU","CTAF","122.9","CTAF"
"KBLV","126 ARW COMD POST","138.55","ACP"
"KBLV","375 AW COMD POST","130.65","POST"
"KBLV","ATIS","128.7","ATIS"
"KBLV","CLNC DEL","121.75","CLD"
"KBLV","GND","119.2","GND"
"KBLV","PMSV METRO","23.98","PMSV"
"KBLV","PTD","139.85","PTD"
"KBLV","ST LOUIS APP/DEP","125.2","A/D"
"KBLV","TWR","118.65","TWR"
"KBLV","UNICOM","122.95","UNIC"
"KBMC","APP/DEP","121.1","A/D"
"KBMC","AWOS 3","135.075","AWOS"
"KBMC","CLNC DEL","126","CLD"
"KBMC","CTAF/UNICOM","123.05","UNIC"
"KBMG","ASOS","110.2","ASOS"
"KBMG","BLOOMINGTON TWR","120.775","TWR"
"KBMG","CTAF","120.775","CTAF"
"KBMG","GND","121.9","GND"
"KBMG","HULMAN APP/DEP","128.05","A/D"
"KBMG","TERRE HAUTE RDO","110.2","RDO"
"KBMG","UNICOM","122.95","UNIC"
"KBMI","ASOS","135.35","ASOS"
"KBMI","ATIS","135.35","ATIS"
"KBMI","BLOOMINGTON TWR","124.6","TWR"
"KBMI","CTAF","124.6","CTAF"
"KBMI","GND","121.65","GND"
"KBMI","KANKAKEE RDO","108.2","RDO"
"KBMI","PEORIA APP/DEP","118.05","A/D"
"KBMI","UNICOM","122.95","UNIC"
"KBML","ASOS","135.175","ASOS"
"KBML","BANGOR RDO/CLNC DEL","122.35","RDO"
"KBML","CTAF/UNICOM","122.7","UNIC"
"KBMT","APP/DEP","121.3","A/D"
"KBMT","CLNC DEL","121.75","CLD"
"KBMT","CTAF/UNICOM","123","UNIC"
"KBMT","MONTGOMERY CO RDO","122.2","RDO"
"KBNA","ANG MAINT","138.1","MISC"
"KBNA","ANG OPS","32.29","OPS"
"KBNA","APP","120.6","APP"
"KBNA","ATIS","135.1","ATIS"
"KBNA","CLNC DEL","126.05","CLD"
"KBNA","DEP","118.4","DEP"
"KBNA","GND","121.9","GND"
"KBNA","RDO","122.2","RDO"
"KBNA","TWR","118.6","TWR"
"KBNA","UNICOM","122.95","UNIC"
"KBNG","CTAF/UNICOM","122.8","UNIC"
"KBNL","AWOS 3","119.775","AWOS"
"KBNL","CTAF/UNICOM","122.8","UNIC"
"KBNL","JACKSONVILLE APP/DEP","132.5","A/D"
"KBNO","ASOS","135.575","ASOS"
"KBNO","CTAF/UNICOM","122.8","UNIC"
"KBNO","MC MINNVILLE RDO","122.5","RDO"
"KBNW","ARNG OPS","36.7","OPS"
"KBNW","AWOS 3","120.925","AWOS"
"KBNW","CTAF/UNICOM","123","UNIC"
"KBNW","DES MOINES APP/DEP","123.9","A/D"
"KBOI","ANG OPS","29.87","MISC"
"KBOI","APP/DEP","119.6","A/D"
"KBOI","ARNG OPS","41.5","OPS"
"KBOI","ATIS","123.9","ATIS"
"KBOI","CLNC DEL","125.9","CLD"
"KBOI","GND","121.7","GND"
"KBOI","RDO","122.2","RDO"
"KBOI","SALT LAKE CITY CNTR","128.05","CNTR"
"KBOI","TWR","118.1","TWR"
"KBOI","UNICOM","122.95","UNIC"
"KBOS","ATIS","135","ATIS"
"KBOS","BOSTON APP","118.25","APP"
"KBOS","BOSTON DEP","133","DEP"
"KBOS","BOSTON TWR","124.725","TWR"
"KBOS","BRIDGEPORT RDO","122.4","RDO"
"KBOS","CLNC DEL","121.65","CLD"
"KBOS","GATE","134.05","GTE"
"KBOS","GND","121.9","GND"
"KBOS","UNICOM","122.95","UNIC"
"KBOW","AWOS 3","123.775","AWOS"
"KBOW","CTAF","121.2","CTAF"
"KBOW","GND","121.9","GND"
"KBOW","TAMPA APP/DEP","120.65","A/D"
"KBOW","TWR","121.2","TWR"
"KBOW","UNICOM","122.95","UNIC"
"KBPI","ASOS","135.225","ASOS"
"KBPI","CASPER RDO","122.3","RDO"
"KBPI","CTAF/UNICOM","122.8","UNIC"
"KBPT","ATIS","126.3","ATIS"
"KBPT","BEAUMONT APP/DEP","121.3","A/D"
"KBPT","BEAUMONT TWR","119.5","TWR"
"KBPT","CLNC DEL","118.3","CLD"
"KBPT","CTAF","119.5","CTAF"
"KBPT","GND","121.9","GND"
"KBPT","MONTGOMERY CO RDO","122.2","RDO"
"KBPT","UNICOM","122.95","UNIC"
"KBQK","AWOS 3","124.175","AWOS"
"KBQK","CLNC DEL","126.75","CLD"
"KBQK","CTAF/UNICOM","122.8","UNIC"
"KBQK","JACKSONVILLE CNTR","126.75","CNTR"
"KBQK","MACON RDO","122.2","RDO"
"KBRD","ASOS","126.775","ASOS"
"KBRD","CTAF/UNICOM","122.7","UNIC"
"KBRD","MINNEAPOLIS CNTR","118.05","CNTR"
"KBRD","PRINCETON RDO","123.65","RDO"
"KBRL","ASOS","118.025","ASOS"
"KBRL","CHICAGO CNTR","135.6","CNTR"
"KBRL","CTAF/UNICOM","123","UNIC"
"KBRL","FORT DODGE RDO","122.65","RDO"
"KBRO","ATIS","128.55","ATIS"
"KBRO","CTAF","118.9","CTAF"
"KBRO","GND","121.9","GND"
"KBRO","SAN ANGELO RDO","122.3","RDO"
"KBRO","TWR","118.9","TWR"
"KBRO","UNICOM","122.95","UNIC"
"KBRO","VALLEY APP/DEP","119.5","A/D"
"KBRY","AWOS 3","119.925","AWOS"
"KBRY","CTAF/UNICOM","122.8","UNIC"
"KBRY","LOUISVILLE APP/DEP","123.675","A/D"
"KBTF","CTAF/UNICOM","122.8","UNIC"
"KBTF","SALT LAKE CITY","120.7","CLD"
"KBTL","ANG OPS","32.35","OPS"
"KBTL","ATIS","128.325","ATIS"
"KBTL","BATTLE CREEK TWR","126.825","TWR"
"KBTL","CTAF","118.5","CTAF"
"KBTL","GND","121.7","GND"
"KBTL","KALAMAZOO APP/DEP","119.2","A/D"
"KBTL","LANSING RDO","122.2","RDO"
"KBTL","UNICOM","122.95","UNIC"
"KBTM","ASOS","135.175","ASOS"
"KBTM","CTAF/UNICOM","123","UNIC"
"KBTM","GREAT FALLS RDO","122.2","RDO"
"KBTM","SALT LAKE CITY CNTR","132.4","CNTR"
"KBTP","ALTOONA RDO","115.8","RDO"
"KBTP","AWOS 3","133.825","AWOS"
"KBTP","CTAF/UNICOM","122.8","UNIC"
"KBTP","PITTSBURGH APP/DEP","124.75","A/D"
"KBTP","PITTSBURGH CLNC DEL","128.7","CLD"
"KBTR","APP/DEP","120.3","A/D"
"KBTR","ATIS","125.2","ATIS"
"KBTR","CLNC DEL","119.4","CLD"
"KBTR","CTAF","118.45","CTAF"
"KBTR","DE RIDDER RDO","122.2","RDO"
"KBTR","GND","121.9","GND"
"KBTR","TWR","118.45","TWR"
"KBTR","UNICOM","122.95","UNIC"
"KBTV","ANG OPS","125.125","MISC"
"KBTV","APP/DEP","121.1","A/D"
"KBTV","ARNG OPS","41.2","OPS"
"KBTV","ATIS","123.8","ATIS"
"KBTV","CTAF","118.3","CTAF"
"KBTV","GND","121.9","GND"
"KBTV","RDO","122.2","RDO"
"KBTV","TWR","118.3","TWR"
"KBTV","UNICOM","122.95","UNIC"
"KBTY","CTAF","122.9","CTAF"
"KBTY","RENO RDO","114.7","RDO"
"KBUB","CTAF","122.9","CTAF"
"KBUB","DENVER CNTR","132.7","CNTR"
"KBUF","APP/DEP","126.15","A/D"
"KBUF","ATIS","135.35","ATIS"
"KBUF","CLNC DEL","124.7","CLD"
"KBUF","GND","121.9","GND"
"KBUF","RDO","122.6","RDO"
"KBUF","TWR","120.5","TWR"
"KBUM","COLUMBIA RDO","115.9","RDO"
"KBUM","CTAF","122.9","CTAF"
"KBUM","KANSAS CITY CNTR","125.55","CNTR"
"KBUR","ATIS","134.5","ATIS"
"KBUR","CLNC DEL","118","CLD"
"KBUR","GND","123.9","GND"
"KBUR","HAWTHORNE RDO","122.35","RDO"
"KBUR","SOCAL APP/DEP","120.4","A/D"
"KBUR","TWR","118.7","TWR"
"KBUR","UNICOM","122.95","UNIC"
"KBVO","ADVSY SVC","120","AAS"
"KBVO","ASOS","132.675","ASOS"
"KBVO","CTAF","120","CTAF"
"KBVO","KANSAS CITY CNTR","128.8","CNTR"
"KBVO","MC ALESTER RDO","123.6","RDO"
"KBVO","UNICOM","123","UNIC"
"KBVX","AWOS 3","126.85","AWOS"
"KBVX","CTAF/UNICOM","122.8","UNIC"
"KBVX","JONESBORO RDO","122.25","RDO"
"KBVX","MEMPHIS CNTR","126.85","CNTR"
"KBVY","ATIS","119.2","ATIS"
"KBVY","BOSTON APP/DEP","124.4","A/D"
"KBVY","CTAF","125.2","CTAF"
"KBVY","GND","121.6","GND"
"KBVY","TWR","125.2","TWR"
"KBVY","UNICOM","122.95","UNIC"
"KBWC","CTAF","122.9","CTAF"
"KBWC","LOS ANGELES CNTR","128.6","CNTR"
"KBWD","AWOS 3","118.325","AWOS"
"KBWD","CTAF/UNICOM","122.8","UNIC"
"KBWD","FORT WORTH CNTR","127.45","CNTR"
"KBWD","FORT WORTH RDO","122.5","RDO"
"KBWG","ASOS","127.825","ASOS"
"KBWG","CTAF/UNICOM","123","UNIC"
"KBWG","LOUISVILLE RDO","122.2","RDO"
"KBWG","MEMPHIS CNTR","133.85","CNTR"
"KBWI","ATIS","115.1","ATIS"
"KBWI","CLNC DEL","118.05","CLD"
"KBWI","GND","121.9","GND"
"KBWI","LEESBURG RDO","122.2","RDO"
"KBWI","POTOMAC APP","119","APP"
"KBWI","POTOMAC DEP","126.75","DEP"
"KBWI","TWR","119.4","TWR"
"KBWI","UNICOM","122.95","UNIC"
"KBXA","AWOS 3","118.025","AWOS"
"KBXA","CTAF/UNICOM","122.8","UNIC"
"KBXA","HOUSTON CNTR","133.5","CNTR"
"KBXK","CTAF/UNICOM","122.8","UNIC"
"KBXK","PRESCOTT RDO","110.6","RDO"
"KBYG","ASOS","135.425","ASOS"
"KBYG","CASPER RDO","122.025","RDO"
"KBYG","CTAF/UNICOM","122.8","UNIC"
"KBYH","CTAF/UNICOM","122.7","UNIC"
"KBYH","MEMPHIS CNTR","134.65","CNTR"
"KBYI","ASOS","135.575","ASOS"
"KBYI","BOISE RDO","122.05","RDO"
"KBYI","CTAF","122.9","CTAF"
"KBYI","SALT LAKE CITY CNTR","118.05","CNTR"
"KBYI","TWIN FALLS APP/DEP","126.7","A/D"
"KBYS","DESERT RDO NORTH","41.65","A/G"
"KBYS","DESERT RDO ROZ 1","41.5","INFO"
"KBYS","DESERT RDO SOUTH","41","RDO"
"KBZN","ATIS","135.425","ATIS"
"KBZN","BOZEMAN TWR","118.2","TWR"
"KBZN","CTAF","118.2","CTAF"
"KBZN","GND","121.8","GND"
"KBZN","GREAT FALLS RDO","122.5","RDO"
"KBZN","SALT LAKE CITY CNTR","132.4","CNTR"
"KBZN","UNICOM","122.95","UNIC"
"KCAD","AWOS 3","128.325","AWOS"
"KCAD","CTAF/UNICOM","122.8","UNIC"
"KCAD","MINNEAPOLIS CNTR","132.9","CNTR"
"KCAE","ANDERSON RDO","122.65","RDO"
"KCAE","APP/DEP","124.15","A/D"
"KCAE","ATIS","120.15","ATIS"
"KCAE","CLNC DEL","119.75","CLD"
"KCAE","GND","121.9","GND"
"KCAE","TWR","119.5","TWR"
"KCAE","UNICOM","122.95","UNIC"
"KCAK","APP/DEP","118.6","A/D"
"KCAK","APP/DEP","32.3","A/D"
"KCAK","ARNG OPS","41.1","OPS"
"KCAK","ATIS","121.05","ATIS"
"KCAK","CLEVELAND RDO","114.4","RDO"
"KCAK","CLNC DEL","132.05","CLD"
"KCAK","GND","121.7","GND"
"KCAK","TWR","118.3","TWR"
"KCAK","UNICOM","122.95","UNIC"
"KCAO","ALBUQUERQUE CNTR","127.85","ARTC"
"KCAO","ASOS","120.625","ASOS"
"KCAO","CTAF/UNICOM","122.8","UNIC"
"KCAR","ASOS","135.125","ASOS"
"KCAR","BANGOR RDO","122.3","RDO"
"KCAR","BOSTON CNTR","124.75","CNTR"
"KCAR","CTAF/UNICOM","122.8","UNIC"
"KCBE","AWOS 3","128.625","AWOS"
"KCBE","CLEVELAND CNTR","124.4","CNTR"
"KCBE","CTAF/UNICOM","122.8","UNIC"
"KCBE","ELKINS RDO","122.35","RDO"
"KCBF","AWOS 3","126.575","AWOS"
"KCBF","CTAF/UNICOM","122.8","UNIC"
"KCBF","OMAHA APP/DEP","124.5","A/D"
"KCBK","AWOS 3","118.175","AWOS"
"KCBK","CTAF/UNICOM","122.8","UNIC"
"KCBK","DENVER CNTR","132.5","CNTR"
"KCBM","APP","126.075","APP"
"KCBM","ATIS","115.2","ATIS"
"KCBM","CLNC DEL","33.86","CLD"
"KCBM","DEP","132.05","DEP"
"KCBM","GND","121.9","GND"
"KCBM","PMSV METRO","34.46","PMSV"
"KCBM","PTD","37.6","PTD"
"KCBM","SOF","25.21","MISC"
"KCBM","TWR","128.65","TWR"
"KCCB","CTAF/UNICOM","123","UNIC"
"KCCB","SOCAL APP/DEP","125.5","A/D"
"KCCR","ATIS","124.7","ATIS"
"KCCR","CLNC DEL","118.75","CLD"
"KCCR","CONCORD TWR","119.7","TWR"
"KCCR","CTAF","119.7","CTAF"
"KCCR","GND","121.9","GND"
"KCCR","TRAVIS APP/DEP","119.9","A/D"
"KCCR","UNICOM","122.95","UNIC"
"KCCY","AWOS 3","125.525","AWOS"
"KCCY","CTAF/UNICOM","122.8","UNIC"
"KCCY","FORT DODGE RDO","122.4","RDO"
"KCCY","WATERLOO APP/DEP","118.9","A/D"
"KCDC","ASOS","119.025","ASOS"
"KCDC","CTAF","123.6","CTAF"
"KCDC","RDO","122.2","RDO"
"KCDC","UNICOM","122.95","UNIC"
"KCDH","CTAF/UNICOM","122.7","UNIC"
"KCDH","FORT WORTH CNTR","126.32","A/D"
"KCDN","AWOS 3","119.975","AWOS"
"KCDN","CTAF/UNICOM","123","UNIC"
"KCDN","SHAW APP/DEP","125.4","A/D"
"KCDR","ASOS","118.05","ASOS"
"KCDR","COLUMBUS RDO","122.5","FSS"
"KCDR","CTAF/UNICOM","122.8","UNIC"
"KCDR","DENVER CNTR","127.95","CNTR"
"KCDS","ASOS","135.125","ASOS"
"KCDS","CTAF/UNICOM","122.8","UNIC"
"KCDS","FORT WORTH CNTR","133.5","CNTR"
"KCDS","FORT WORTH RDO","122.45","RDO"
"KCDW","ATIS","135.5","ATIS"
"KCDW","CLNC DEL","121.1","CLD"
"KCDW","CTAF","119.8","CTAF"
"KCDW","GND","121.9","GND"
"KCDW","NEW YORK APP","127.6","APP"
"KCDW","NEW YORK DEP","119.2","DEP"
"KCDW","TWR","119.8","TWR"
"KCDW","UNICOM","122.95","UNIC"
"KCEA","CTAF","122.9","CTAF"
"KCEA","MC CONNELL TWR","127.25","TWR"
"KCEA","WICHITA APP/DEP","134.8","A/D"
"KCEA","WICHITA CLNC DEL","125","CLD"
"KCEC","ASOS","119.925","ASOS"
"KCEC","CTAF","122.8","CTAF"
"KCEC","OAKLAND RDO","122.3","RDO"
"KCEC","SEATTLE CNTR","124.85","CNTR"
"KCEC","UNICOM","122.8","UNIC"
"KCEF","ATIS","114","ATIS"
"KCEF","BRADLEY APP/DEP","125.35","A/D"
"KCEF","COMD POST 439 AW","25.21","POST"
"KCEF","GND","118.35","GND"
"KCEF","PMSV METRO","27.475","PMSV"
"KCEF","PTD","37.22","PTD"
"KCEF","TWR","134.85","TWR"
"KCEF","UNICOM","123","UNIC"
"KCEU","ASOS","119.275","ASOS"
"KCEU","CTAF/UNICOM","122.7","UNIC"
"KCEU","GREER APP/DEP","118.8","A/D"
"KCEV","AWOS 3","118.325","AWOS"
"KCEV","CTAF/UNICOM","122.8","UNIC"
"KCEV","DAYTON APP/DEP","134.45","A/D"
"KCEW","ASOS","119.275","ASOS"
"KCEW","CTAF/UNICOM","122.95","UNIC"
"KCEW","EGLIN APP/DEP","124.05","A/D"
"KCEW","GAINESVILLE RDO","122","RDO"
"KCEY","AWOS 3","119.975","AWOS"
"KCEY","CTAF/UNICOM","122.7","UNIC"
"KCEY","MEMPHIS CNTR","133.65","CNTR"
"KCEZ","ASOS","135.625","ASOS"
"KCEZ","CTAF/UNICOM","122.8","UNIC"
"KCEZ","DENVER CNTR","118.575","CNTR"
"KCEZ","DENVER RDO","122.3","RDO"
"KCFD","CTAF/UNICOM","123","UNIC"
"KCFD","HOUSTON CNTR","120.4","CNTR"
"KCFT","CTAF","122.9","CTAF"
"KCFV","ASOS","121.275","ASOS"
"KCFV","CTAF/UNICOM","123","UNIC"
"KCFV","KANSAS CITY CNTR","132.9","CNTR"
"KCGE","AWOS 3","120.675","AWOS"
"KCGE","CTAF/UNICOM","122.7","UNIC"
"KCGE","PATUXENT APP/DEP","127.95","A/D"
"KCGF","CLEVELAND APP/DEP","125.35","A/D"
"KCGF","COUNTY TWR","118.5","TWR"
"KCGF","CTAF","118.5","CTAF"
"KCGF","GND/CLNC DEL","121.85","GCCD"
"KCGF","UNICOM","122.95","UNIC"
"KCGI","ASOS","120.55","ASOS"
"KCGI","CTAF","119","CTAF"
"KCGI","GND","121.6","GND"
"KCGI","MEMPHIS CNTR","133.65","CNTR"
"KCGI","ST LOUIS RDO","122.4","RDO"
"KCGI","TWR","119","TWR"
"KCGI","UNICOM","122.95","UNIC"
"KCGZ","ALBUQUERQUE CNTR","125.4","CNTR"
"KCGZ","AWOS 3","132.175","AWOS"
"KCGZ","CTAF/UNICOM","122.7","UNIC"
"KCHA","ARNG OPS","41.5","OPS"
"KCHA","ATIS","119.85","ATIS"
"KCHA","CHATTANOOGA APP","119.2","APP"
"KCHA","CHATTANOOGA APP","122.5","APP"
"KCHA","CHATTANOOGA DEP","119.2","DEP"
"KCHA","CHATTANOOGA TWR","118.3","TWR"
"KCHA","CLNC DEL","120.95","CLD"
"KCHA","CTAF","118.3","CTAF"
"KCHA","GND","121.7","GND"
"KCHA","UNICOM","122.95","UNIC"
"KCHK","AWOS 3","118.175","AWOS"
"KCHK","CTAF/UNICOM","123","UNIC"
"KCHK","OKE CITY APP/DEP","124.6","A/D"
"KCHO","ASOS","118.425","ASOS"
"KCHO","ATIS","118.425","ATIS"
"KCHO","CTAF","124.5","CTAF"
"KCHO","GND","121.9","GND"
"KCHO","LEESBURG RDO","122.2","RDO"
"KCHO","POTOMAC APP/DEP","132.85","A/D"
"KCHO","TWR","124.5","TWR"
"KCHO","UNICOM","122.95","UNIC"
"KCHS","ANDERSON RDO","122.2","RDO"
"KCHS","APP","119.3","APP"
"KCHS","APP","30.692","APP"
"KCHS","ATIS","124.75","ATIS"
"KCHS","CLNC DEL","118","CLD"
"KCHS","CONSOLIDATED COMD","134.1","POST"
"KCHS","DEP","120.7","DEP"
"KCHS","GND","121.9","GND"
"KCHS","PMSV  METRO","34.46","PMSV"
"KCHS","PTD","37.22","PTD"
"KCHS","TWR","126","TWR"
"KCHS","UNICOM","122.95","UNIC"
"KCIC","AWOS 3","119.675","AWOS"
"KCIC","CTAF","121","CTAF"
"KCIC","GND","121.9","GND"
"KCIC","OAKLAND CNTR","132.2","CNTR"
"KCIC","RANCHO RDO","109.8","RDO"
"KCIC","TWR","121","TWR"
"KCIC","UNICOM","122.95","UNIC"
"KCID","APP/DEP  (270-090)","134.05","A/D"
"KCID","APP/DEP (091-269)","119.7","A/D"
"KCID","ATIS","124.15","ATIS"
"KCID","CLNC DEL","125.45","CLD"
"KCID","CTAF","118.7","CTAF"
"KCID","FORT DODGE RDO","122.55","RDO"
"KCID","GND","121.6","GND"
"KCID","TWR","118.7","TWR"
"KCID","UNICOM","122.95","UNIC"
"KCIN","AWOS 3","118.025","AWOS"
"KCIN","CTAF/UNICOM","122.8","UNIC"
"KCIN","MINNEAPOLIS CNTR","134","CNTR"
"KCIR","AWOS 3","118.025","AWOS"
"KCIR","CTAF/UNICOM","122.8","UNIC"
"KCIR","MEMPHIS CNTR","133.65","CNTR"
"KCIU","AWOS 3","127.575","AWOS"
"KCIU","CTAF/UNICOM","123","UNIC"
"KCIU","GREEN BAY RDO","123.65","RDO"
"KCIU","TORONTO CNTR","132.65","CNTR"
"KCKA","DOGFACE","38.625","MISC"
"KCKB","ARNG OPS","139.05","OPS"
"KCKB","ATIS","127.825","ATIS"
"KCKB","CLARKSBURG APP/DEP","119.6","A/D"
"KCKB","CLARKSBURG TWR","126.7","TWR"
"KCKB","CTAF","126.7","CTAF"
"KCKB","ELKINS RDO","112.6","RDO"
"KCKB","GND","121.9","GND"
"KCKB","UNICOM","123","UNIC"
"KCKM","AWOS 3","120.675","AWOS"
"KCKM","CTAF/UNICOM","122.8","UNIC"
"KCKM","MEMPHIS CNTR","135.3","CNTR"
"KCKN","AWOS 3","40","AWOS"
"KCKN","CLNC DEL","118.15","CLD"
"KCKN","CTAF/UNICOM","122.7","UNIC"
"KCKN","GRAND FORKS APP/DEP","118.1","A/D"
"KCKV","ASOS","134.575","ASOS"
"KCKV","CAMPBELL APP/DEP","134.35","A/D"
"KCKV","CTAF/UNICOM","122.8","UNIC"
"KCLE","APP","119.625","APP"
"KCLE","ATIS","127.85","ATIS"
"KCLE","CLNC DEL","125.05","CLD"
"KCLE","DEP","118.15","DEP"
"KCLE","GND","121.7","GND"
"KCLE","RAMP CON","129.17","RMP"
"KCLE","RDO","122.2","RDO"
"KCLE","TWR","120.9","TWR"
"KCLE","UNICOM","122.95","UNIC"
"KCLI","AWOS 3","120.675","AWOS"
"KCLI","CTAF/UNICOM","122.8","UNIC"
"KCLI","GREEN BAY APP/DEP","126.3","A/D"
"KCLK","AWOS","119.225","ASOS"
"KCLK","CTAF/UNICOM","122.8","UNIC"
"KCLK","FORT WORTH CNTR","128.4","A/D"
"KCLL","ATIS","126.85","ATIS"
"KCLL","CTAF","118.5","CTAF"
"KCLL","GND","128.7","GND"
"KCLL","HOUSTON CNTR","120.4","CNTR"
"KCLL","MONTGOMERY CO RDO","122.2","RDO"
"KCLL","TWR","118.5","TWR"
"KCLL","UNICOM","122.95","UNIC"
"KCLM","ASOS","135.175","ASOS"
"KCLM","CLNC DEL","124.15","CLD"
"KCLM","CTAF/UNICOM","123","UNIC"
"KCLM","SEATTLE RDO","122.6","RDO"
"KCLM","WHIDBEY APP/DEP","118.2","A/D"
"KCLR","CTAF","122.9","CTAF"
"KCLR","LOS ANGELES CNTR","128.6","ARTC"
"KCLS","CTAF/UNICOM","122.8","UNIC"
"KCLS","SEATTLE APP","121.1","APP"
"KCLS","SEATTLE DEP","124.2","DEP"
"KCLT","APP/DEP","120.05","A/D"
"KCLT","ATIS","121.15","ATIS"
"KCLT","BASE OPS COMD POST","29.22","POST"
"KCLT","CLNC DEL","127.15","CLD"
"KCLT","GND","121.8","GND"
"KCLT","RALEIGH RDO","122.4","RDO"
"KCLT","TWR","118.1","TWR"
"KCLT","UNICOM","122.95","UNIC"
"KCLW","CTAF/UNICOM","123","UNIC"
"KCLW","TAMPA APP/DEP","125.3","A/D"
"KCMH","ATIS","124.6","ATIS"
"KCMH","CLNC DEL","126.3","CLD"
"KCMH","COLUMBUS APP/DEP","118.2","A/D"
"KCMH","COLUMBUS APP/DEP","33.822","A/D"
"KCMH","DAYTON RDO","122.2","RDO"
"KCMH","GND","121.9","GND"
"KCMH","TWR","132.7","TWR"
"KCMH","UNICOM","122.95","UNIC"
"KCMI","ATIS","124.85","ATIS"
"KCMI","CHAMPAIGN APP/DEP","121.35","A/D"
"KCMI","CHAMPAIGN TWR","118.25","TWR"
"KCMI","CLNC DEL","128.75","CLD"
"KCMI","CTAF","120.4","CTAF"
"KCMI","GND","121.8","GND"
"KCMI","ST LOUIS RDO","110","RDO"
"KCMI","UNICOM","122.95","UNIC"
"KCMX","ASOS","125.675","ASOS"
"KCMX","CTAF/UNICOM","122.7","UNIC"
"KCMX","GREEN BAY RDO","122.525","RDO"
"KCMX","MINNEAPOLIS CNTR","127.2","CNTR"
"KCMY","AWOS 3","118.375","AWOS"
"KCMY","CTAF","124.6","CTAF"
"KCMY","RANGE","41.9","MISC"
